   .Foto #1	-- Fecha	02/09/2025---10:02:17 a. m.
   	Wavelength	Dark Substract	
3.743562E+2	7.229330E+0
3.744660E+2	2.396123E+0
3.745757E+2	7.208850E+0
3.746855E+2	5.549995E+0
3.747953E+2	-8.478591E+0
3.749050E+2	1.228781E-1
3.750148E+2	2.641880E+0
3.751245E+2	-7.577484E-1
3.752342E+2	-3.850181E+0
3.753439E+2	6.061988E+0
3.754536E+2	3.358669E+0
3.755632E+2	-1.617895E+0
3.756729E+2	2.744278E+0
3.757825E+2	-1.781733E+0
3.758922E+2	3.768263E+0
3.760018E+2	6.041508E+0
3.761114E+2	-2.826197E+0
3.762210E+2	1.333228E+1
3.763306E+2	3.440587E+0
3.764402E+2	4.566970E+0
3.765497E+2	1.228781E-1
3.766593E+2	2.764758E+0
3.767688E+2	3.583945E+0
3.768783E+2	-1.124335E+1
3.769879E+2	9.154420E+0
3.770974E+2	-4.382653E+0
3.772068E+2	6.307744E+0
3.773163E+2	-7.372687E-1
3.774258E+2	1.066992E+1
3.775352E+2	8.171395E+0
3.776447E+2	2.334684E+0
3.777541E+2	4.177856E+0
3.778635E+2	8.499070E+0
3.779729E+2	1.249261E+1
3.780823E+2	4.116417E+0
3.781917E+2	7.536525E+0
3.783010E+2	4.526011E+0
3.784104E+2	1.679334E+0
3.785197E+2	1.097711E+1
3.786290E+2	1.105903E+0
3.787384E+2	1.234925E+1
3.788477E+2	4.546491E+0
3.789569E+2	1.007601E+1
3.790662E+2	-4.669369E+0
3.791755E+2	3.809222E+0
3.792847E+2	2.990034E+0
3.793940E+2	8.724347E+0
3.795032E+2	9.441136E+0
3.796124E+2	5.263280E+0
3.797216E+2	4.485052E+0
3.798308E+2	9.256819E+0
3.799400E+2	-3.297230E+0
3.800492E+2	-1.617895E+0
3.801583E+2	2.232286E+0
3.802674E+2	4.095937E-1
3.803766E+2	2.150367E+0
3.804857E+2	9.215859E+0
3.805948E+2	4.382653E+0
3.807039E+2	-4.935605E+0
3.808130E+2	1.028080E+1
3.809220E+2	2.723798E+0
3.810311E+2	7.372687E-1
3.811401E+2	5.939109E+0
3.812492E+2	6.655898E+0
3.813582E+2	1.433578E-1
3.814672E+2	-6.348703E+0
3.815762E+2	7.659403E+0
3.816852E+2	6.635419E+0
3.817941E+2	9.707372E+0
3.819031E+2	-2.928595E+0
3.820120E+2	5.017523E+0
3.821210E+2	5.959589E+0
3.822299E+2	4.485052E+0
3.823388E+2	-2.867156E-1
3.824477E+2	8.724347E+0
3.825566E+2	1.322988E+1
3.826654E+2	6.000548E+0
3.827743E+2	-1.228781E-1
3.828831E+2	-1.044464E+0
3.829920E+2	8.601469E+0
3.831008E+2	1.015793E+1
3.832096E+2	-6.635419E+0
3.833184E+2	-1.023984E-1
3.834272E+2	1.155054E+1
3.835360E+2	6.963094E+0
3.836447E+2	4.075458E+0
3.837535E+2	-1.089519E+1
3.838622E+2	1.091567E+1
3.839709E+2	5.672873E+0
3.840797E+2	1.843172E+0
3.841884E+2	-1.576936E+0
3.842970E+2	8.458111E+0
3.844057E+2	5.038003E+0
3.845144E+2	1.046512E+1
3.846230E+2	-9.133941E+0
3.847317E+2	5.099442E+0
3.848403E+2	6.369183E+0
3.849489E+2	9.113461E+0
3.850575E+2	3.522506E+0
3.851661E+2	-1.331180E+0
3.852747E+2	-2.416603E+0
3.853833E+2	2.334684E+0
3.854918E+2	1.716198E+1
3.856003E+2	3.686344E+0
3.857089E+2	1.761253E+0
3.858174E+2	-4.444092E+0
3.859259E+2	4.095937E-2
3.860344E+2	5.529516E+0
3.861429E+2	6.840216E+0
3.862513E+2	1.435626E+1
3.863598E+2	-2.375644E+0
3.864683E+2	8.806266E+0
3.865767E+2	-8.191875E-2
3.866851E+2	-1.925091E+0
3.867935E+2	8.396672E-1
3.869019E+2	1.157102E+1
3.870103E+2	-2.969555E+0
3.871187E+2	2.723798E+0
3.872270E+2	8.888184E+0
3.873354E+2	-4.218816E+0
3.874437E+2	7.720842E+0
3.875520E+2	-5.119922E-1
3.876604E+2	1.153006E+1
3.877687E+2	4.054978E+0
3.878769E+2	5.509036E+0
3.879852E+2	4.956084E+0
3.880935E+2	1.044464E+0
3.882017E+2	4.915125E+0
3.883100E+2	1.904611E+0
3.884182E+2	4.833206E+0
3.885264E+2	7.106452E+0
3.886346E+2	1.800165E+1
3.887428E+2	1.535977E+0
3.888510E+2	3.747783E+0
3.889592E+2	8.253314E+0
3.890673E+2	-5.386158E+0
3.891755E+2	8.621948E+0
3.892836E+2	1.343468E+1
3.893917E+2	-2.641880E+0
3.894998E+2	-1.863652E+0
3.896079E+2	-3.112912E+0
3.897160E+2	4.976564E+0
3.898241E+2	5.222320E+0
3.899321E+2	-3.379148E+0
3.900402E+2	-2.027489E+0
3.901482E+2	4.648889E+0
3.902562E+2	8.437631E+0
3.903643E+2	7.372687E-1
3.904723E+2	6.410142E+0
3.905802E+2	1.003505E+0
3.906882E+2	-8.191875E-2
3.907962E+2	1.179630E+1
3.909041E+2	7.045012E+0
3.910121E+2	-3.338189E+0
3.911200E+2	1.146863E+0
3.912279E+2	8.355713E+0
3.913358E+2	2.867156E-1
3.914437E+2	-2.232286E+0
3.915516E+2	3.993539E+0
3.916595E+2	1.271789E+1
3.917673E+2	5.283759E+0
3.918752E+2	-1.064944E+0
3.919830E+2	-2.191327E+0
3.920908E+2	3.706823E+0
3.921986E+2	-2.519002E+0
3.923064E+2	-4.505531E-1
3.924142E+2	1.026032E+1
3.925220E+2	3.133392E+0
3.926297E+2	1.304556E+1
3.927375E+2	9.011063E+0
3.928452E+2	-5.980069E+0
3.929530E+2	9.277298E+0
3.930607E+2	1.019888E+1
3.931684E+2	-1.843172E+0
3.932761E+2	2.478042E+0
3.933837E+2	-2.416603E+0
3.934914E+2	4.935605E+0
3.935991E+2	-8.601469E-1
3.937067E+2	1.599464E+1
3.938143E+2	1.112047E+1
3.939219E+2	4.034498E+0
3.940296E+2	-7.270289E+0
3.941372E+2	2.723798E+0
3.942447E+2	4.853686E+0
3.943523E+2	-2.723798E+0
3.944599E+2	1.734630E+1
3.945674E+2	-9.973608E+0
3.946749E+2	2.232286E+0
3.947825E+2	7.393167E+0
3.948900E+2	2.150367E+0
3.949975E+2	9.011062E+0
3.951050E+2	1.556456E+0
3.952124E+2	4.792247E+0
3.953199E+2	1.017840E+1
3.954274E+2	-1.495017E+0
3.955348E+2	3.256270E+0
3.956422E+2	1.026032E+1
3.957497E+2	-1.351659E+0
3.958571E+2	5.427117E+0
3.959645E+2	6.328223E+0
3.960718E+2	1.228781E-1
3.961792E+2	3.235791E+0
3.962866E+2	1.007601E+1
3.963939E+2	-1.228781E-1
3.965012E+2	-1.228781E-1
3.966086E+2	3.481547E-1
3.967159E+2	-2.047969E-2
3.968232E+2	4.894645E+0
3.969305E+2	-4.505531E+0
3.970377E+2	-1.658855E+0
3.971450E+2	1.986530E+0
3.972523E+2	4.157377E+0
3.973595E+2	4.136897E+0
3.974667E+2	-1.114095E+1
3.975739E+2	1.638375E+0
3.976812E+2	9.461616E+0
3.977883E+2	1.433578E-1
3.978955E+2	2.969555E+0
3.980027E+2	-3.727303E+0
3.981099E+2	-1.314796E+1
3.982170E+2	3.604425E+0
3.983241E+2	1.005553E+1
3.984313E+2	6.287264E+0
3.985384E+2	3.379148E+0
3.986455E+2	6.164386E+0
3.987526E+2	4.648889E+0
3.988596E+2	7.884680E+0
3.989667E+2	1.310700E+0
3.990738E+2	-4.075458E+0
3.991808E+2	8.396672E-1
3.992878E+2	6.881175E+0
3.993948E+2	1.216493E+1
3.995019E+2	6.553500E+0
3.996088E+2	1.085423E+1
3.997158E+2	3.850181E+0
3.998228E+2	1.044464E+0
3.999298E+2	8.970103E+0
4.000367E+2	1.585128E+1
4.001436E+2	7.905159E+0
4.002506E+2	5.283759E+0
4.003575E+2	5.468077E+0
4.004644E+2	1.015792E+1
4.005713E+2	6.451102E+0
4.006781E+2	8.191875E-1
4.007850E+2	-4.095937E-1
4.008919E+2	-5.775272E+0
4.009987E+2	5.140402E+0
4.011055E+2	-1.023984E-1
4.012124E+2	-4.751287E+0
4.013192E+2	2.273245E+0
4.014260E+2	-2.170847E+0
4.015328E+2	9.666412E+0
4.016395E+2	4.505531E+0
4.017463E+2	1.925091E+0
4.018530E+2	8.540030E+0
4.019598E+2	2.662359E-1
4.020665E+2	1.105903E+0
4.021732E+2	6.963094E+0
4.022799E+2	-6.901655E+0
4.023866E+2	-2.805717E+0
4.024933E+2	6.635419E+0
4.026000E+2	6.410142E+0
4.027066E+2	9.625453E-1
4.028133E+2	7.782281E-1
4.029199E+2	-5.365678E+0
4.030265E+2	1.206254E+1
4.031331E+2	1.638375E+0
4.032397E+2	-8.642428E+0
4.033463E+2	3.461067E+0
4.034529E+2	2.887636E+0
4.035595E+2	6.082467E+0
4.036660E+2	1.337324E+1
4.037726E+2	1.945570E+0
4.038791E+2	-2.887636E+0
4.039856E+2	2.621400E+0
4.040921E+2	-5.816231E+0
4.041986E+2	4.648889E+0
4.043051E+2	5.939109E-1
4.044116E+2	-8.601469E+0
4.045180E+2	-5.119922E+0
4.046245E+2	6.635419E+0
4.047309E+2	-1.079280E+1
4.048373E+2	-2.600920E+0
4.049438E+2	5.652394E+0
4.050502E+2	1.247213E+1
4.051566E+2	1.843172E+0
4.052629E+2	5.119922E-1
4.053693E+2	1.134575E+1
4.054757E+2	9.011063E-1
4.055820E+2	4.505531E-1
4.056883E+2	4.607930E+0
4.057947E+2	9.543534E+0
4.059010E+2	1.564648E+1
4.060073E+2	-7.782281E-1
4.061136E+2	6.082467E+0
4.062198E+2	2.334684E+0
4.063261E+2	1.048560E+1
4.064324E+2	1.710054E+1
4.065386E+2	8.273794E+0
4.066448E+2	1.228781E+0
4.067511E+2	1.327084E+1
4.068573E+2	8.191875E-2
4.069635E+2	1.587176E+1
4.070696E+2	1.128431E+1
4.071758E+2	4.300734E+0
4.072820E+2	8.908664E+0
4.073881E+2	1.822692E+0
4.074943E+2	2.211806E+0
4.076004E+2	1.353707E+1
4.077065E+2	1.464298E+1
4.078126E+2	1.531881E+1
4.079187E+2	7.454606E+0
4.080248E+2	5.324719E+0
4.081309E+2	1.083375E+1
4.082369E+2	1.222637E+1
4.083430E+2	1.042416E+1
4.084490E+2	1.085423E+0
4.085550E+2	9.174900E+0
4.086611E+2	7.188370E+0
4.087671E+2	2.600920E+0
4.088731E+2	1.202158E+1
4.089790E+2	1.050608E+1
4.090850E+2	8.028037E+0
4.091910E+2	2.160607E+1
4.092969E+2	6.389662E+0
4.094028E+2	9.297778E+0
4.095088E+2	1.435626E+1
4.096147E+2	1.664999E+1
4.097206E+2	1.986530E+0
4.098265E+2	1.134575E+1
4.099323E+2	4.239295E+0
4.100382E+2	1.126383E+1
4.101441E+2	-3.481547E-1
4.102499E+2	2.064352E+1
4.103557E+2	7.741322E+0
4.104616E+2	8.929144E+0
4.105674E+2	4.874166E+0
4.106732E+2	7.720842E+0
4.107790E+2	9.523055E+0
4.108847E+2	1.642471E+1
4.109905E+2	1.318892E+1
4.110963E+2	1.083375E+1
4.112020E+2	9.420656E-1
4.113077E+2	1.163246E+1
4.114134E+2	7.679883E+0
4.115192E+2	1.978338E+1
4.116249E+2	9.359217E+0
4.117305E+2	1.515497E+1
4.118362E+2	1.157102E+1
4.119419E+2	1.605607E+1
4.120475E+2	8.212355E+0
4.121532E+2	5.775272E+0
4.122588E+2	8.724347E+0
4.123644E+2	1.290220E+1
4.124700E+2	5.549995E+0
4.125756E+2	9.994087E+0
4.126812E+2	1.144815E+1
4.127868E+2	3.911620E+0
4.128923E+2	8.458111E+0
4.129979E+2	1.490921E+1
4.131034E+2	2.887636E+0
4.132090E+2	6.102947E+0
4.133145E+2	3.993539E+0
4.134200E+2	5.713833E+0
4.135255E+2	5.201841E+0
4.136310E+2	8.560509E+0
4.137364E+2	6.635419E+0
4.138419E+2	7.188370E+0
4.139473E+2	5.406638E+0
4.140528E+2	-5.140402E+0
4.141582E+2	8.458111E+0
4.142636E+2	-3.297230E+0
4.143690E+2	-4.341694E+0
4.144744E+2	2.211806E+0
4.145798E+2	5.631914E+0
4.146852E+2	1.611751E+1
4.147905E+2	2.314205E+0
