   .Foto #1	-- Fecha	02/09/2025---10:02:06 a. m.
   	Wavelength	Dark Substract	
3.607548E+2	9.912169E+0
3.608661E+2	6.205345E+0
3.609775E+2	6.676378E+0
3.610888E+2	1.535977E+0
3.612001E+2	6.963094E+0
3.613115E+2	-4.034498E+0
3.614227E+2	1.122287E+1
3.615340E+2	1.441770E+1
3.616453E+2	3.481547E+0
3.617566E+2	1.122287E+1
3.618678E+2	8.806266E+0
3.619790E+2	2.334684E+0
3.620902E+2	1.351659E+0
3.622014E+2	1.392619E+0
3.623126E+2	-5.918630E+0
3.624238E+2	7.720842E+0
3.625350E+2	-4.915125E-1
3.626461E+2	-7.577484E-1
3.627573E+2	1.843172E-1
3.628684E+2	-1.228781E-1
3.629795E+2	1.064944E+1
3.630906E+2	6.348703E+0
3.632017E+2	1.386475E+1
3.633128E+2	3.481547E+0
3.634238E+2	1.687526E+1
3.635349E+2	6.737817E+0
3.636459E+2	2.027489E+0
3.637570E+2	3.870661E+0
3.638680E+2	3.542986E+0
3.639790E+2	1.341420E+1
3.640900E+2	-6.963094E-1
3.642009E+2	6.512541E+0
3.643119E+2	1.202158E+1
3.644228E+2	-8.150916E+0
3.645338E+2	2.088928E+0
3.646447E+2	1.060848E+1
3.647556E+2	1.228781E+0
3.648665E+2	9.482095E+0
3.649774E+2	9.891689E+0
3.650883E+2	6.942614E+0
3.651991E+2	8.109956E+0
3.653100E+2	1.267693E+1
3.654208E+2	1.296364E+1
3.655316E+2	6.758297E+0
3.656424E+2	-1.945570E+0
3.657532E+2	2.396123E+0
3.658640E+2	-2.867156E+0
3.659748E+2	4.157377E+0
3.660855E+2	1.310700E+1
3.661963E+2	6.123427E+0
3.663070E+2	4.095938E-2
3.664177E+2	-6.143906E-2
3.665284E+2	7.024533E+0
3.666391E+2	6.184866E+0
3.667498E+2	9.912169E+0
3.668605E+2	-2.047969E-1
3.669711E+2	1.183726E+1
3.670818E+2	7.352208E+0
3.671924E+2	4.014019E+0
3.673030E+2	7.884680E+0
3.674136E+2	1.441770E+1
3.675242E+2	3.112913E+0
3.676348E+2	5.590955E+0
3.677453E+2	3.010514E+0
3.678559E+2	2.580441E+0
3.679664E+2	1.327084E+1
3.680770E+2	-3.256270E+0
3.681875E+2	4.812727E+0
3.682980E+2	3.481547E+0
3.684085E+2	6.328223E+0
3.685189E+2	-1.556456E+0
3.686294E+2	-4.444092E+0
3.687399E+2	9.256819E+0
3.688503E+2	1.034224E+1
3.689607E+2	5.713833E+0
3.690711E+2	8.335233E+0
3.691815E+2	1.224685E+1
3.692919E+2	9.338738E+0
3.694023E+2	1.413098E+0
3.695127E+2	1.109999E+1
3.696230E+2	9.031542E+0
3.697333E+2	7.536525E+0
3.698437E+2	1.097711E+1
3.699540E+2	3.481547E+0
3.700643E+2	-1.863652E+0
3.701746E+2	3.461067E+0
3.702848E+2	4.198336E+0
3.703951E+2	9.502575E+0
3.705054E+2	-1.576936E+0
3.706156E+2	1.843172E-1
3.707258E+2	8.109956E+0
3.708360E+2	7.516045E+0
3.709462E+2	3.665864E+0
3.710564E+2	2.662359E-1
3.711666E+2	3.358669E+0
3.712767E+2	3.194831E+0
3.713869E+2	-9.318258E+0
3.714970E+2	5.795752E+0
3.716072E+2	3.092433E+0
3.717173E+2	3.604425E+0
3.718274E+2	6.553500E-1
3.719374E+2	-3.071953E-1
3.720475E+2	6.533020E+0
3.721576E+2	1.517545E+1
3.722676E+2	8.908664E+0
3.723777E+2	4.423612E+0
3.724877E+2	3.071953E+0
3.725977E+2	5.160881E+0
3.727077E+2	7.413647E+0
3.728177E+2	7.352208E+0
3.729277E+2	6.471581E+0
3.730376E+2	-1.495017E+0
3.731476E+2	3.993539E+0
3.732575E+2	8.826745E+0
3.733674E+2	1.372139E+0
3.734773E+2	5.222320E+0
3.735872E+2	6.287264E+0
3.736971E+2	-1.228781E-1
3.738070E+2	5.017523E+0
3.739168E+2	-1.392619E+0
3.740267E+2	1.597416E+0
3.741365E+2	1.392619E+0
3.742463E+2	-6.758297E-1
3.743562E+2	5.181361E+0
3.744660E+2	5.795752E+0
3.745757E+2	4.915125E+0
3.746855E+2	2.723798E+0
3.747953E+2	8.601469E-1
3.749050E+2	2.293725E+0
3.750148E+2	-1.126383E+0
3.751245E+2	1.945570E+0
3.752342E+2	7.372688E+0
3.753439E+2	1.028080E+1
3.754536E+2	8.068997E+0
3.755632E+2	-4.792247E+0
